Antenna1
5,50	-69,94
5,49	-80,56
3,78	-71,32
4,19	-72,94
4,66	-76,54
4,73	-74,81
5,43	-77,48
4,86	-72,75
5,50	-132,91
5,49	-137,73
3,78	-130,51
4,19	-135,51
4,66	-139,13
4,73	-132,96
5,43	-136,54
4,86	-127,51
5,50	-142,75
5,49	-147,58
3,78	-143,46
4,19	-144,79
4,66	-146,20
4,73	-145,44
5,43	-146,88
4,86	-142,92
Antenna2
5,49	-67,62
3,78	-68,38
4,19	-69,97
4,66	-71,85
4,73	-69,19
5,43	-75,75
4,86	-71,61
5,50	-75,33
5,49	-131,79
3,78	-129,37
4,19	-134,12
4,66	-135,60
4,73	-133,42
5,43	-142,01
4,86	-134,66
5,50	-137,53
5,49	-142,74
3,78	-143,46
4,19	-144,79
4,66	-146,22
4,73	-146,39
5,43	-148,02
4,86	-145,82
5,50	-147,59
