Antenna1
4,66	-71,82
4,73	-73,63
5,43	-75,38
4,86	-73,79
5,50	-75,74
5,49	-79,43
3,78	-67,26
4,19	-69,29
4,66	-127,93
4,73	-132,54
5,43	-137,28
4,86	-135,50
5,50	-139,62
5,49	-137,99
3,78	-132,58
4,19	-130,73
4,66	-140,59
4,73	-145,23
5,43	-147,27
4,86	-146,56
5,50	-148,37
5,49	-148,36
3,78	-143,10
4,19	-143,61
Antenna2
4,73	-70,11
5,43	-73,91
4,86	-75,15
5,50	-75,97
5,49	-79,68
3,78	-73,50
4,19	-69,71
4,66	-72,32
4,73	-130,04
5,43	-137,71
4,86	-139,07
5,50	-135,79
5,49	-136,39
3,78	-129,34
4,19	-130,80
4,66	-136,39
4,73	-140,77
5,43	-146,99
4,86	-146,36
5,50	-147,42
5,49	-148,36
3,78	-143,24
4,19	-144,07
4,66	-145,05
