Antenna1
5,43	-70,85
4,86	-75,72
5,50	-78,13
5,49	-80,27
3,78	-67,30
4,19	-71,99
4,66	-78,14
4,73	-72,79
5,43	-133,63
4,86	-139,38
5,50	-136,49
5,49	-135,44
3,78	-136,88
4,19	-136,36
4,66	-135,06
4,73	-132,92
5,43	-142,59
4,86	-146,68
5,50	-147,04
5,49	-148,16
3,78	-143,46
4,19	-144,79
4,66	-145,27
4,73	-145,16
Antenna2
4,86	-68,56
5,50	-75,61
5,49	-73,11
3,78	-66,08
4,19	-75,51
4,66	-76,00
4,73	-72,64
5,43	-80,08
4,86	-128,97
5,50	-134,60
5,49	-136,79
3,78	-128,95
4,19	-132,23
4,66	-136,92
4,73	-137,50
5,43	-134,41
4,86	-141,14
5,50	-144,54
5,49	-147,42
3,78	-143,46
4,19	-144,79
4,66	-146,02
4,73	-145,99
5,43	-148,13
