Antenna1
3,78	-63,44
4,19	-66,38
4,66	-75,87
4,73	-73,39
5,43	-77,72
4,86	-78,96
5,50	-77,59
5,49	-77,47
3,78	-125,93
4,19	-132,32
4,66	-133,55
4,73	-137,60
5,43	-135,01
4,86	-135,02
5,50	-133,85
5,49	-135,28
3,78	-137,83
4,19	-142,17
4,66	-145,86
4,73	-146,18
5,43	-148,22
4,86	-146,76
5,50	-148,38
5,49	-148,36
Antenna2
4,19	-66,64
4,66	-70,86
4,73	-73,20
5,43	-75,10
4,86	-76,29
5,50	-78,57
5,49	-76,52
3,78	-69,75
4,19	-129,69
4,66	-130,41
4,73	-135,40
5,43	-138,77
4,86	-142,97
5,50	-133,98
5,49	-142,30
3,78	-130,63
4,19	-139,17
4,66	-145,04
4,73	-145,67
5,43	-148,22
4,86	-146,76
5,50	-148,38
5,49	-148,36
3,78	-140,84
